,医生职称,医生所在城市,医生有无简介,总文章数,医生欢迎词,IST0_1erke,log(IST),患者满意度,城市等级,欢迎词字数,字数平方,profession_encoding,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5
136,副主任医师,广州,1,1,托起明天的太阳。                        在我还不算太长的医生生涯里，听到最多的是这句话：“看病难，看专科病更难！”。虽然我的知识和精力有限，但我愿尽绵薄之力。求医寻治之路，对于患者和医者，有时候都是一样的困难旅程。共同寻获答案时，患者将获得正确的医治，而医者则获得知识与经验的升...华。一路行来，有困惑也有迷茫，最终选择执着。                                        展开 >>                 收起 <<,0.067058805,0.06490608326583495,199.2409919907409,一线城市,243.0,59049.0,4,1,0,0,0,0,1,0
140,主任医师 副教授,北京,1,0,阜外医院16病区                        欢迎广大先天性心脏病患者及家属咨询和到阜外心血管病医院就诊，我定将竭力为您和您的家人服务，祝福所有先心病患者！,0.06418449,0.0622087687457915,7.97332585777374,一线城市,87.0,7569.0,5,1,0,0,0,0,0,1
141,副主任医师,北京,1,1,0,0.064131331,0.062158814693402724,-1.8931773824724585,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
143,主任医师,上海,1,23,明年我不再出门诊                        无论什么样的语言也表达不了我对你们感恩的心，感谢广大家长的信任，使我坚守这个与你们交流沟通的阵地。长期以来和你们一起探讨宝宝的营养和生长问题，也使我得益匪浅。对我长期致力于儿童保健营养工作岗位的一位普通医生，虽然不能完全解决家长育儿的所有困...惑，但能够有机会把一生所学奉献大家，完成我此生关爱孩子的使命，是无限快乐和幸福的。以后虽然没有机会多交流了，我想以后会创造其他机会把我的保健知识和各位家长共同分享。辞旧迎新之际衷心祝愿宝宝幸福成长！祝,0.062780333,0.060888429839567576,104.55012915621286,一线城市,255.0,65025.0,4,1,0,0,0,0,1,0
146,主治医师,上海,0,0,0,0.061139697,0.05934351637470733,-9.864237569377982,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
148,主任医师,广州,1,0,0,0.059327603,0.057634370054817176,0.4587534435222913,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
157,住院医师,广州,0,15,0,0.05562479,0.054132809645627035,-9.864237569377982,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
162,主任医师,广州,1,0,再次起航                        近两年来，忙于医院的美国JCI国际认证和人民卫生出版社、人民军医出版社的书籍编写，对网站的咨询和回复有所忽略，给患儿家属带来很多不便，对此我深表歉意。现在各方面的工作都取得了卓越的成绩，能够腾出更多的时间关注好大夫等网络的咨询，可以使更多患...儿家属不用再来回奔波于就医路途中，尤其是许多省外的家长。在这里，谢谢给我帮助和鼓励的患儿及其家长，正是你们的支持和要求，给了我动力更加重视网络咨询和回复。请多联系，让我知道你们和孩子，就诊后确实从我这得到帮助,0.053563409000000006,0.05217814134499018,4.673696705603948,一线城市,255.0,65025.0,4,1,0,0,0,0,1,0
163,主治医师,上海,1,1,0,0.053250933,0.051881507706171635,-8.522890997324884,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
164,副主任医师 副教授,上海,1,6,爱孩子                        爱孩子 患病的孩子需要更多的爱 于清是儿科大夫 也是儿童心理医生 关爱孩子 关心家长,0.052872888,0.05152251171525156,3.516480677026971,一线城市,69.0,4761.0,5,1,0,0,0,0,0,1
167,副主任医师,上海,0,0,0,0.051507701,0.0502250399569082,-7.323108048320067,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
170,主任医师 副教授,上海,1,2,0,0.049599702,0.04840885528996432,0.947988690302366,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
173,副主任医师,北京,1,1,0,0.048788786,0.0476359611905112,-8.289420530974674,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
176,副主任医师,广州,1,0,0,0.048333591,0.04720184727122738,-9.864237569377982,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
177,主任医师 教授,广州,1,43,早产儿之舟俱乐部在珠江新城欢迎你的加入！！！                        服务内容重点服务对象为早产儿，定期开办早产儿之舟俱乐部，欢迎您的加入。建立个人档案跟踪监测：定期进行体格发育、神经运动发育、行为及气质测查与指导系统干预训练：特殊儿童抚触、婴儿抚触、婴儿被动体操、各年龄段适宜运动训练（大运动、精细运动...、视听刺激、语言训练、行为培养）等个性化服务：一对一营养及保健指导，解决宝宝成长过程中家长面临的种种难题。,0.048043687,0.046925271098712695,-5.112740845373606,一线城市,219.0,47961.0,5,1,0,0,0,0,0,1
178,主治医师 讲师,北京,1,0,0,0.04733003,0.04624409711833426,2.3984682681499963,一线城市,0.0,0.0,3,1,0,0,0,1,0,0
179,副主任医师,北京,1,5,欢迎词                        让孩子们都健康成长！,0.047270369000000007,0.046187130643922616,-6.019260245107768,一线城市,37.0,1369.0,4,1,0,0,0,0,1,0
187,主治医师,北京,0,0,欢迎广大患友咨询有关心脏外科冠心病、风湿性瓣膜病、...                        可咨询有关心脏外科小儿先天性心脏病问题 手术及术后复查,0.042714019000000006,0.04182694762568507,-6.5135636434748925,一线城市,79.0,6241.0,2,1,0,0,1,0,0,0
190,住院医师,上海,1,0,0,0.042284443,0.041414884006543286,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
202,副主任医师 副教授,上海,1,0,0,0.039608521,0.03884422017330831,-7.474807974542446,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
210,主任医师 教授,北京,1,1,我的愿望                        愿所有的患儿得到最好的治疗！,0.035352802,0.03474224013142697,-4.1785421231005015,一线城市,42.0,1764.0,5,1,0,0,0,0,0,1
212,住院医师,上海,0,0,0,0.034609109,0.03402368291735762,-9.864237569377982,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
215,副主任医师 副教授,广州,1,0,0,0.033822302,0.033262906385184685,-7.1494306648903025,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
216,主治医师,北京,0,0,0,0.033769259,0.03321159741196951,-9.864237569377982,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
217,住院医师,北京,1,0,0,0.033680126,0.03312537232641055,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
220,主任医师,上海,1,3,"关爱孩子牙齿健康                        ""热心、耐心、爱心、细心”是我的追求，您孩子“健康的牙齿，甜美的微笑”是对我最大的褒奖。",0.033093764,0.032557954653321765,3.50939081770848,一线城市,76.0,5776.0,4,1,0,0,0,0,1,0
221,副主任医师,北京,1,5,欢迎词                        尽自己所能、所长，解除您的疑问、顾虑,0.033046483,0.03251218718901057,1.0895523133506475,一线城市,45.0,2025.0,4,1,0,0,0,0,1,0
223,主任医师,北京,1,0,0,0.03159384,0.031105023700516318,-8.930355703977124,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
235,副主任医师,上海,1,0,0,0.026814726,0.026461511555950244,-6.215548799489437,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
239,主治医师,北京,0,0,0,0.025952763,0.02562170572769261,-10.097708035728196,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
240,主治医师,广州,1,0,0,0.025690902,0.025366436251916504,-8.69688523762691,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
241,住院医师,深圳,0,0,0,0.025269091,0.02495510594085541,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
242,主任医师 教授,广州,1,11,欢迎词                        为人父母虽然辛苦，但是在你满足宝宝的需求过程当中，你也同时得到宝宝对你完全的爱及信任。随着孩子一天天的长大，透过孩子的眼睛，你们将重新再认识发现这个世界。也只有你们 ─ 宝宝的父母，可以提供他无条件的爱，安全的环境，良好的保健，滋养他的自信...，教导他享受人生。                                        展开 >>                 收起 <<,0.02517362,0.02486198361214384,-8.463414771276696,一线城市,226.0,51076.0,5,1,0,0,0,0,0,1
243,副主任医师 副教授,上海,1,0,0,0.025023214,0.024715260138791887,-7.763003372226052,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
244,副主任医师 副教授,上海,1,2,0,0.024954539,0.02464825941166186,-7.7951171326075475,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
245,副主任医师,北京,1,0,欢迎就诊                        各位患者，我院先天性心脏病门诊已经增加周六日上午门诊，欢迎就诊。,0.024865536,0.024561419594702868,-9.136463704660642,一线城市,60.0,3600.0,4,1,0,0,0,0,1,0
248,副主任医师 副教授,上海,1,6,0,0.023965069,0.023682413730790643,-9.39729663667755,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
252,副主任医师,北京,1,0,0,0.021856726,0.021621292130126087,-6.508495491887842,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
260,住院医师,北京,1,0,0,0.019366875,0.01918172379117377,-9.136463704660642,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
264,副主任医师,广州,1,0,0,0.018667764,0.018495659860715045,-8.256989913720924,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
266,主任医师 教授,上海,1,0,0,0.018321855,0.018156032206161986,-6.801759041158503,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
267,主治医师,北京,1,0,0,0.018217005,0.018053063387690586,-8.930355703977124,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
270,副主任医师,上海,1,0,0,0.016238988,0.016108545904815166,-9.39729663667755,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
274,主治医师,北京,1,17,"欢迎您                        尊敬的网友：欢迎您浏览我的好大夫个人网页！从走向医学殿堂伊始，成为一名优秀的好大夫是我的人生追求。虽年资不高，但我在坚持不懈的努力，并在繁忙的工作之余时常关注着国际相关医术新进展，不断的提高和完善自我。我会不断地通过发表文章的形式，把...过敏性疾病朋友普遍关注的问题给予阐述，提供咨询和帮助!您也可以通过提问的方式把您的疑问发给我！总之，有过敏性疾病烦恼的朋友，请到这里来，我会竭尽全力给您满意答复！愿通过我们的共同努力,战胜过敏,远离过敏!(特此声明:",0.015187078,0.015072908810633737,-8.669522771960214,一线城市,255.0,65025.0,2,1,0,0,1,0,0,0
276,主治医师,上海,1,0,0,0.01487268,0.01476316620204829,-6.801759041158503,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
277,主任医师 教授,广州,1,5,我是艺术家                        作为一个儿科医生，当然也是一个“艺术家”，我很想为你分忧，聆听你的倾述，给你专业的指导意见，欢迎你！,0.014384138,0.014281667748914931,-6.9805045761753215,一线城市,79.0,6241.0,5,1,0,0,0,0,0,1
281,住院医师,北京,1,0,0,0.01279339,0.012712245925181827,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
283,主任医师 教授,上海,1,0,0,0.01238711,0.012311017486086756,-9.630767103027763,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
287,副主任医师,北京,1,0,0,0.011825063,0.011755693274582864,-8.463414771276696,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
294,主任医师,北京,1,0,0,0.009564268,0.009518819943943413,-8.436052305610001,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
296,副主任医师 副教授,上海,1,0,0,0.009448322,0.009403965781367379,-8.902993238310428,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
308,主治医师,上海,1,0,0,0.007287013,0.007260591001422789,-9.163826170327335,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
312,主管技师,广州,1,4,0,0.00669779,0.006675459459284275,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
315,主任医师 教授,上海,1,0,0,0.005852493,0.005835433690142771,-9.163826170327335,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
325,副主任医师,广州,1,0,0,0.004581521,0.004571057778803293,-9.864237569377982,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
329,主任医师 副教授,深圳,1,0,0,0.0034784890000000004,0.0034724530504113213,-8.930355703977124,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
331,副主任医师,上海,1,1,0,0.0028244190000000003,0.0028204378232353365,-9.39729663667755,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
332,主任医师,广州,1,0,0,0.00275178,0.002748000784874011,-9.864237569377982,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
335,主治医师,北京,0,0,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
343,副主任医师,深圳,0,0,0,0.0,0.0,-9.864237569377982,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
344,副主任医师,上海,1,0,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
350,住院医师,深圳,0,0,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
357,副主任医师,广州,1,0,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
360,住院医师,上海,0,0,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
371,主治医师,广州,1,1,0,0.0,0.0,-9.630767103027763,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
373,副主任医师,北京,1,0,0,0.0,0.0,-8.902993238310428,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
380,住院医师,北京,1,0,0,0.0,0.0,-9.630767103027763,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
382,住院医师,深圳,0,0,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
394,副主任医师,深圳,1,0,0,0.0,0.0,-9.864237569377982,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
406,主治医师 讲师,上海,1,0,0,0.0,0.0,-9.864237569377982,一线城市,0.0,0.0,3,1,0,0,0,1,0,0
408,副主任医师,北京,1,2,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
412,主治医师,上海,1,0,0,0.0,0.0,-9.630767103027763,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
417,主治医师,上海,1,0,小儿脑血管病                        小儿脑血管病发病率不高，但专职医师更少，本专栏为全国脑血管病的患儿提供一个咨询的平台。,0.0,0.0,-8.669522771960214,一线城市,73.0,5329.0,2,1,0,0,1,0,0,0
424,主治医师,深圳,0,0,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
426,副主任医师 副教授,广州,1,0,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
430,副主任医师 副教授,北京,1,0,0,0.0,0.0,-9.864237569377982,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
436,副主任医师,广州,1,0,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
439,副主任医师,北京,1,0,0,0.0,0.0,-9.864237569377982,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
442,主治医师,广州,0,0,0,0.0,0.0,-10.097708035728196,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
444,主治医师,上海,0,0,0,0.0,0.0,-9.864237569377982,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
